Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Pousada Por do Sol;R$ 5.299;8,1;Quarto Triplo Standard;1.551 avaliações
Aurora Jericoacoara;R$ 3.500;8,9;Quarto Duplo;680 avaliações
Pousada Ibiscus;R$ 5.045;8,1;Quarto Duplo Standard;1.101 avaliações
Pousada Duna Beach;R$ 6.063;8,3;Quarto Duplo Standard;183 avaliações
Pousada Pedra Furada;R$ 4.150;9,1;Quarto Duplo;463 avaliações
Casa Valentini Pousada;R$ 8.750;8,4;Suíte Superior com Cama King-size;199 avaliações
Araxá Pousada;R$ 7.353;8,4;Suíte Dupla Standard;455 avaliações
Samba do Kite Pousada;R$ 6.160;7,4;Quarto Triplo Standard;763 avaliações
All Blue;R$ 3.750;8,2;Quarto Duplo Standard;206 avaliações
Pousada Villa Flores;R$ 4.550;8,6;Apartamento Standard;530 avaliações
Pousada Ponta Da Pedra;R$ 6.000;8,0;Quarto Duplo Standard;1.866 avaliações
My Blue Hotel;R$ 11.490;9,1;Quarto Standard;283 avaliações
CasaLô Hotel;R$ 12.871;8,8;Quarto Duplo Standard;208 avaliações
Casarão Jeri;R$ 6.500;8,9;Quarto Duplo Standard;195 avaliações
Naquela Jericoacoara;R$ 10.331;8,3;Quarto Triplo com Varanda;321 avaliações
Recanto do Barao Pousada;R$ 5.544;8,9;Quarto Deluxe com Cama King-size;438 avaliações
Casa na Praia;R$ 12.803;7,7;Suíte com Jardim;170 avaliações
Mini Hotel Dunas;R$ 4.612;9,1;Quarto Duplo Econômico;127 avaliações
Swiss Garten Jeri;R$ 5.605;8,9;Apartamento com Vista do Jardim;307 avaliações
B&B Girassol;R$ 4.990;9,5;Quarto Duplo Clássico com Varanda;515 avaliações
Pousada Caminho da Praia;R$ 9.670;8,0;Quarto Triplo Deluxe no Último Andar;106 avaliações
Pousada do Ary;R$ 3.960;8,7;Quarto Triplo Standard;262 avaliações
Villa Água de Coco;R$ 6.500;9,2;Quarto Quádruplo Deluxe;302 avaliações
