Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Pousada Por do Sol;R$ 5.299;8,1;Quarto Triplo Standard;1.551 avaliações
Pousada Duna Beach;R$ 6.063;8,1;Quarto Duplo Standard;1.101 avaliações
CasaLô Hotel;R$ 9.010;9,1;Quarto Duplo Standard;283 avaliações
Casa Valentini Pousada;R$ 8.750;9,1;Suíte Superior com Cama King-size;463 avaliações
Naquela Jericoacoara;R$ 7.304;8,9;Quarto Triplo com Varanda;195 avaliações
Pousada Villa Flores;R$ 4.550;8,2;Apartamento Standard;206 avaliações
Pousada Pedra Furada;R$ 4.150;8,3;Quarto Duplo;182 avaliações
Aurora Jericoacoara;R$ 3.500;8,4;Quarto Duplo;199 avaliações
Araxá Pousada;R$ 7.353;8,4;Suíte Dupla Standard;455 avaliações
Samba do Kite Pousada;R$ 6.160;7,4;Quarto Triplo Standard;763 avaliações
All Blue;R$ 3.750;8,6;Quarto Duplo Standard;530 avaliações
Pousada Ponta Da Pedra;R$ 6.000;9,5;Quarto Duplo Standard;587 avaliações
Café Jeri Hotel;R$ 10.920;8,0;Suíte com Vista do Jardim;1.870 avaliações
My Blue Hotel;R$ 13.090;8,8;Quarto Luxo;207 avaliações
Casarão Jeri;R$ 6.500;8,9;Quarto Duplo Standard;679 avaliações
Pousada Ibiscus;R$ 5.045;9,5;Quarto Duplo Standard;220 avaliações
VillaMag;R$ 7.869;9,1;Suíte com Vista para a Piscina;127 avaliações
Pousada Jeri Flats;R$ 3.250;8,9;Quarto Duplo;95 avaliações
Swiss Garten Jeri;R$ 5.605;7,7;Apartamento com Vista do Jardim;169 avaliações
Pousada Chez Ellery Jeri;R$ 4.835;9,5;Quarto Duplo;515 avaliações
Mini Hotel Dunas;R$ 4.612;8,9;Quarto Duplo Econômico;438 avaliações
Pousada Caminho da Praia;R$ 9.670;8,7;Quarto Triplo Deluxe no Último Andar;262 avaliações
Casa na Praia;R$ 12.630;8,9;Suíte com Vista do Jardim;306 avaliações
