Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Pousada Por do Sol;R$ 4.889;8,1;Quarto Duplo Standard;1.558 avaliações
My Blue Hotel;R$ 11.490;8,0;Quarto Standard;1.875 avaliações
All Blue;R$ 3.750;7,4;Quarto Duplo Standard;767 avaliações
Recanto do Barao Pousada;R$ 5.112;8,3;Quarto Duplo com Varanda;323 avaliações
Pousada Ibiscus;R$ 5.045;8,9;Quarto Duplo Standard;674 avaliações
Raiz Kite Cabana;R$ 2.936;8,0;Chalé;309 avaliações
Araxá Pousada;R$ 7.443;8,4;Suíte Dupla Standard;201 avaliações
Pousada Villa Flores;R$ 4.800;8,2;Apartamento;205 avaliações
Rox Hotel;R$ 5.900;7,7;Quarto Deluxe com Varanda;571 avaliações
Pousada Pedra Furada;R$ 4.150;8,3;Quarto Duplo;180 avaliações
Swiss Garten Jeri;R$ 8.389;9,1;Apartamento com Vista do Jardim;128 avaliações
Pousada Caminho da Praia;R$ 9.670;9,5;Quarto Triplo Deluxe no Último Andar;517 avaliações
Pousada da Renata;R$ 6.703;9,0;Quarto Duplo Deluxe com Varanda;287 avaliações
Pousada Duna Beach;R$ 6.894;8,2;Quarto Duplo Standard;1.103 avaliações
Om Sweet Residence;R$ 3.495;7,9;Estúdio;678 avaliações
Pousada Nativa Jeri;R$ 5.100;9,3;Quarto Triplo Deluxe;462 avaliações
Pousada Ponta Da Pedra;R$ 6.000;8,6;Quarto Duplo Standard;536 avaliações
Pousada JeriMagia;R$ 3.500;8,3;Quarto Duplo Standard;139 avaliações
Blue Residence Hotel;R$ 13.400;8,2;Estúdio Standard - Piso Térreo;925 avaliações
Samba do Kite Pousada;R$ 6.160;8,3;Quarto Triplo Standard;461 avaliações
Pousada Angelica;R$ 6.562;8,8;Quarto Deluxe (2 Adultos + 1 Criança);167 avaliações
Pousada Jangada Jeri;R$ 3.570;6,9;Quarto Família Standard;58 avaliações
Ronco do Mar Jeri;R$ 4.490;8,7;Quarto Deluxe com Cama Queen-size;85 avaliações
Pousada Toca da Coruja Jeri;R$ 3.377;9,2;Quarto Duplo;92 avaliações
Pousada Sunbrazil;R$ 6.278;9,2;Quarto Superior com Cama de Casal ou 2 de Solteiro;439 avaliações
