Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Aurora Jericoacoara;R$ 3.500;8,1;Quarto Duplo;1.101 avaliações
Pousada Duna Beach;R$ 6.063;9,1;Quarto Duplo Standard;462 avaliações
Casa Valentini Pousada;R$ 8.000;8,3;Quarto Triplo Comfort;183 avaliações
Pousada Pedra Furada;R$ 4.150;8,4;Quarto Duplo;199 avaliações
Araxá Pousada;R$ 7.353;7,4;Suíte Dupla Standard;762 avaliações
All Blue;R$ 3.750;8,2;Quarto Duplo Standard;206 avaliações
Pousada Villa Flores;R$ 4.550;8,4;Apartamento Standard;454 avaliações
Samba do Kite Pousada;R$ 6.160;8,6;Quarto Triplo Standard;529 avaliações
Pousada Ponta Da Pedra;R$ 6.000;8,0;Quarto Duplo Standard;1.864 avaliações
My Blue Hotel;R$ 13.090;8,8;Quarto Luxo;208 avaliações
Casarão Jeri;R$ 6.500;8,8;Quarto Duplo Standard;439 avaliações
Casa na Praia;R$ 12.803;8,9;Suíte com Jardim;195 avaliações
Naquela Jericoacoara;R$ 10.331;7,7;Quarto Triplo com Varanda;170 avaliações
Mini Hotel Dunas;R$ 4.612;8,9;Quarto Duplo Econômico;307 avaliações
B&B Girassol;R$ 4.990;8,7;Quarto Duplo Clássico com Varanda;263 avaliações
Villa Água de Coco;R$ 6.000;7,5;Apartamento Standard;146 avaliações
Pousada do Norte;R$ 7.005;8,7;Apartamento no Térreo;253 avaliações
Villa Samambaia na Pousada Maxitalia;R$ 5.527;8,2;Quarto Duplo Econômico;146 avaliações
Jeri Hotel;R$ 7.784;9,5;Apartamento Superior;514 avaliações
Pousada Caminho da Praia;R$ 9.670;9,1;Quarto Triplo Deluxe no Último Andar;127 avaliações
Swiss Garten Jeri;R$ 5.605;9,3;Apartamento com Vista do Jardim;629 avaliações
Villa das Palmeiras Jeri;R$ 8.120;8,3;Apartamento de 2 Quartos;321 avaliações
Recanto do Barao Pousada;R$ 5.544;7,7;Quarto Deluxe com Cama King-size;562 avaliações
