Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Pousada Ibiscus;R$ 5.045;8,9;Quarto Duplo Standard;676 avaliações
Casa Valentini Pousada;R$ 8.000;9,1;Quarto Triplo Comfort;461 avaliações
Samba do Kite Pousada;R$ 6.160;8,3;Quarto Triplo Standard;452 avaliações
Araxá Pousada;R$ 7.353;8,4;Suíte Dupla Standard;201 avaliações
My Blue Hotel;R$ 11.490;8,0;Quarto Standard;1.862 avaliações
Pousada Villa Flores;R$ 4.600;8,2;Apartamento Standard;206 avaliações
CasaLô Hotel;R$ 11.500;9,1;Quarto Duplo Standard;285 avaliações
Pousada Ponta Da Pedra;R$ 6.000;8,6;Quarto Duplo Standard;528 avaliações
Casarão Jeri;R$ 6.250;8,8;Quarto Duplo Standard;208 avaliações
All Blue;R$ 4.350;7,4;Quarto Triplo Standard;762 avaliações
Aurora Jericoacoara;R$ 3.500;8,9;Quarto Duplo;192 avaliações
Naquela Jericoacoara;R$ 10.331;8,9;Quarto Triplo com Varanda;305 avaliações
B&B Girassol;R$ 4.990;8,7;Quarto Duplo Clássico com Varanda;253 avaliações
Villa Samambaia na Pousada Maxitalia;R$ 5.527;8,7;Quarto Duplo Econômico;263 avaliações
Villa Água de Coco;R$ 6.000;9,9;Apartamento Standard;8 avaliações
Pousada Vila de Pedra;R$ 5.282;9,5;Quarto Triplo Standard;510 avaliações
Pousada Caminho da Praia;R$ 9.670;8,3;Quarto Triplo Deluxe no Último Andar;320 avaliações
Recanto do Barao Pousada;R$ 5.544;8,8;Quarto Deluxe com Cama King-size;437 avaliações
Casa na Praia;R$ 13.620;9,1;Suíte com Jardim;854 avaliações
Pousada Villa Caju;R$ 4.750;8,8;Quarto com Cama Queen-size;367 avaliações
Pousada Baobá;R$ 5.563;9,1;Quarto Duplo Superior;126 avaliações
Swiss Garten Jeri;R$ 5.605;9,2;Apartamento com Vista do Jardim;436 avaliações
Pousada Sunbrazil;R$ 6.278;9,3;Quarto Superior com Cama de Casal ou 2 de Solteiro;628 avaliações
Villa das Palmeiras Jeri;R$ 8.120;7,7;Apartamento de 2 Quartos;561 avaliações
