Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Pousada Ibiscus;R$ 5.045;8,9;Quarto Duplo Standard;679 avaliações
Casa Valentini Pousada;R$ 8.000;9,1;Quarto Triplo Comfort;461 avaliações
Pousada Duna Beach;R$ 6.383;8,1;Quarto Duplo Standard;1.099 avaliações
Araxá Pousada;R$ 7.353;8,4;Suíte Dupla Standard;199 avaliações
Samba do Kite Pousada;R$ 6.160;8,3;Quarto Triplo Standard;453 avaliações
My Blue Hotel;R$ 11.490;8,0;Quarto Standard;1.861 avaliações
Pousada Villa Flores;R$ 4.600;8,2;Apartamento Standard;206 avaliações
CasaLô Hotel;R$ 11.500;9,1;Quarto Duplo Standard;285 avaliações
All Blue;R$ 3.750;7,4;Quarto Duplo Standard;761 avaliações
Pousada Ponta Da Pedra;R$ 6.000;8,6;Quarto Duplo Standard;528 avaliações
Casarão Jeri;R$ 6.250;8,8;Quarto Duplo Standard;208 avaliações
Naquela Jericoacoara;R$ 10.331;8,9;Quarto Triplo com Varanda;192 avaliações
Aurora Jericoacoara;R$ 3.500;8,9;Quarto Duplo;307 avaliações
B&B Girassol;R$ 4.990;8,7;Quarto Duplo Clássico com Varanda;253 avaliações
Villa Samambaia na Pousada Maxitalia;R$ 5.527;8,7;Quarto Duplo Econômico;263 avaliações
Villa Água de Coco;R$ 6.000;9,9;Apartamento Standard;8 avaliações
Pousada Vila de Pedra;R$ 5.282;8,3;Quarto Triplo Standard;321 avaliações
Recanto do Barao Pousada;R$ 5.544;8,8;Quarto Deluxe com Cama King-size;437 avaliações
Casa na Praia;R$ 13.620;7,5;Suíte com Jardim;145 avaliações
Pousada do Norte;R$ 7.005;9,1;Apartamento no Térreo;854 avaliações
Pousada Villa Caju;R$ 4.750;9,2;Quarto com Cama Queen-size;436 avaliações
Pousada Sunbrazil;R$ 6.278;9,1;Quarto Superior com Cama de Casal ou 2 de Solteiro;126 avaliações
Swiss Garten Jeri;R$ 5.605;7,7;Apartamento com Vista do Jardim;562 avaliações
Rox Hotel;R$ 5.900;9,3;Quarto Deluxe com Varanda;629 avaliações
