Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Raiz Kite Cabana;R$ 2.836;8,0;Chalé;310 avaliações
Pousada Por do Sol;R$ 6.234;8,1;Quarto Triplo Standard;1.548 avaliações
Pousada Ibiscus;R$ 5.045;8,9;Quarto Duplo Standard;678 avaliações
Pousada Duna Beach;R$ 6.894;8,1;Quarto Duplo Standard;1.100 avaliações
Villa das Palmeiras Jeri;R$ 4.930;9,3;Estúdio Família;627 avaliações
Casa Valentini Pousada;R$ 8.750;9,1;Suíte Superior com Cama King-size;462 avaliações
Samba do Kite Pousada;R$ 6.160;8,3;Quarto Triplo Standard;459 avaliações
Naquela Jericoacoara;R$ 7.304;8,9;Quarto Triplo com Varanda;198 avaliações
Araxá Pousada;R$ 7.353;8,4;Suíte Dupla Standard;200 avaliações
CasaLô Hotel;R$ 10.600;9,1;Quarto Duplo Standard;282 avaliações
All Blue;R$ 3.750;7,4;Quarto Duplo Standard;766 avaliações
Pousada Ponta Da Pedra;R$ 6.000;8,6;Quarto Duplo Standard;531 avaliações
Pousada Villa Flores;R$ 4.550;8,2;Apartamento Standard;205 avaliações
Pousada Pedra Furada;R$ 4.150;8,3;Quarto Duplo;181 avaliações
My Blue Hotel;R$ 13.090;8,0;Quarto Luxo;1.872 avaliações
Casarão Jeri;R$ 6.500;8,8;Quarto Duplo Standard;207 avaliações
Casa na Praia;R$ 12.630;8,9;Suíte com Vista do Jardim;441 avaliações
Swiss Garten Jeri;R$ 5.605;9,1;Apartamento com Vista do Jardim;127 avaliações
Recanto do Barao Pousada;R$ 5.112;8,3;Quarto Duplo com Varanda;322 avaliações
Pousada Windjeri;R$ 9.000;9,2;Quarto Duplo Superior;447 avaliações
Pousada Caminho da Praia;R$ 9.670;9,5;Quarto Triplo Deluxe no Último Andar;512 avaliações
B&B Girassol;R$ 4.990;8,9;Quarto Duplo Clássico com Varanda;307 avaliações
Vila Biju Jeri;R$ 6.745;9,2;Quarto Duplo com Vista do Jardim;301 avaliações
Jeri Hotel;R$ 7.784;8,2;Apartamento Superior;146 avaliações
Rox Hotel;R$ 5.900;7,7;Quarto Deluxe com Varanda;565 avaliações
