Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Pousada Por do Sol;R$ 4.889;8,1;Quarto Duplo Standard;1.554 avaliações
Pousada Ibiscus;R$ 5.045;8,9;Quarto Duplo Standard;676 avaliações
Pousada Duna Beach;R$ 6.894;8,2;Quarto Duplo Standard;1.099 avaliações
Samba do Kite Pousada;R$ 6.160;8,3;Quarto Triplo Standard;461 avaliações
Araxá Pousada;R$ 7.443;8,4;Suíte Dupla Standard;201 avaliações
Casa Valentini Pousada;R$ 9.250;9,1;Quarto Triplo Comfort;463 avaliações
Pousada Pedra Furada;R$ 4.150;8,3;Quarto Duplo;182 avaliações
All Blue;R$ 3.750;7,4;Quarto Duplo Standard;767 avaliações
Pousada Villa Flores;R$ 4.550;8,2;Apartamento Standard;205 avaliações
My Blue Hotel;R$ 11.490;8,0;Quarto Standard;1.875 avaliações
CasaLô Hotel;R$ 10.600;9,1;Quarto Duplo Standard;281 avaliações
Pousada Ponta Da Pedra;R$ 6.000;8,6;Quarto Duplo Standard;536 avaliações
Naquela Jericoacoara;R$ 7.304;8,9;Quarto Triplo com Varanda;200 avaliações
Recanto do Barao Pousada;R$ 5.112;8,3;Quarto Duplo com Varanda;322 avaliações
Casarão Jeri;R$ 6.500;8,8;Quarto Duplo Standard;207 avaliações
Pousada Caminho da Praia;R$ 9.670;9,5;Quarto Triplo Deluxe no Último Andar;515 avaliações
Pousada Windjeri;R$ 9.000;9,2;Quarto Duplo Superior;449 avaliações
Pousada Toca da Coruja Jeri;R$ 4.047;9,2;Quarto Deluxe;92 avaliações
Pousada Carioca - Pousada de Charme;R$ 5.460;9,4;Quarto Triplo com Banheiro Privativo;238 avaliações
Casa na Praia;R$ 12.630;8,9;Suíte com Vista do Jardim;441 avaliações
Villa Água de Coco;R$ 6.500;8,7;Quarto Quádruplo Deluxe;263 avaliações
Rox Hotel;R$ 5.900;7,7;Quarto Deluxe com Varanda;569 avaliações
Pousada Nativa Jeri;R$ 5.100;9,3;Quarto Triplo Deluxe;462 avaliações
Vila Biju Jeri;R$ 6.745;9,2;Quarto Duplo com Vista do Jardim;301 avaliações
Pousada do Ary;R$ 3.960;8,0;Quarto Triplo Standard;105 avaliações
