Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Pousada Por do Sol;R$ 5.299;8,1;Quarto Triplo Standard;1.550 avaliações
Pousada Ibiscus;R$ 5.045;8,9;Quarto Duplo Standard;679 avaliações
Villa das Palmeiras Jeri;R$ 4.234;9,3;Estúdio Família;628 avaliações
Naquela Jericoacoara;R$ 7.304;8,9;Quarto Triplo com Varanda;196 avaliações
CasaLô Hotel;R$ 10.600;9,1;Quarto Duplo Standard;282 avaliações
Pousada Pedra Furada;R$ 4.150;8,3;Quarto Duplo;182 avaliações
Casa Valentini Pousada;R$ 8.750;9,1;Suíte Superior com Cama King-size;461 avaliações
Pousada Duna Beach;R$ 6.894;8,1;Quarto Duplo Standard;1.101 avaliações
Samba do Kite Pousada;R$ 6.160;8,4;Quarto Triplo Standard;454 avaliações
Araxá Pousada;R$ 7.353;8,4;Suíte Dupla Standard;200 avaliações
Pousada Villa Flores;R$ 4.550;8,2;Apartamento Standard;206 avaliações
All Blue;R$ 3.750;7,4;Quarto Duplo Standard;764 avaliações
Pousada Ponta Da Pedra;R$ 6.000;8,6;Quarto Duplo Standard;530 avaliações
My Blue Hotel;R$ 13.090;8,0;Quarto Luxo;1.869 avaliações
Casarão Jeri;R$ 6.500;8,8;Quarto Duplo Standard;207 avaliações
Recanto do Barao Pousada;R$ 5.112;8,3;Quarto Duplo com Varanda;322 avaliações
Pousada Jeri Flats;R$ 3.250;9,1;Quarto Duplo;127 avaliações
Swiss Garten Jeri;R$ 5.605;7,7;Apartamento com Vista do Jardim;170 avaliações
Mini Hotel Dunas;R$ 4.612;9,5;Quarto Duplo Econômico;514 avaliações
Pousada Caminho da Praia;R$ 9.670;8,9;Quarto Triplo Deluxe no Último Andar;440 avaliações
Casa na Praia;R$ 12.630;9,2;Suíte com Vista do Jardim;301 avaliações
Vila Biju Jeri;R$ 6.745;8,9;Quarto Duplo com Vista do Jardim;306 avaliações
B&B Girassol;R$ 4.990;9,2;Quarto Duplo Clássico com Varanda;92 avaliações
Pousada Toca da Coruja Jeri;R$ 4.047;8,7;Quarto Deluxe;262 avaliações
