Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Pousada Mar'Tito;R$ 7.465;9,1;Quarto Família com Vista do Mar;822 avaliações
Costa do Sol Boutique Hotel;R$ 11.772;8,3;Suíte Standard com Vista do Jardim;416 avaliações
La Boheme Hotel e Apart Hotel;R$ 7.500;9,0;Quarto Duplo Standard;496 avaliações
HTL PERSONALIZADA BUZIOS;R$ 3.200;8,3;Quarto Duplo;224 avaliações
Bardot Apartamentos;R$ 5.400;8,2;Quarto Duplo;271 avaliações
Pousada Dos Búzios;R$ 6.980;9,0;Quarto Standard;872 avaliações
La Pedrera Small Hotel & Spa;R$ 10.331;9,1;Quarto Standard;745 avaliações
Pousada dos Reis;R$ 6.351;8,5;Quarto Deluxe;364 avaliações
Hotel Miratlantico Búzios;R$ 6.669;8,5;Suíte com Vista do Jardim;1.864 avaliações
Rio Búzios Beach Hotel;R$ 7.283;9,0;Quarto Duplo Standard com Varanda e Vista do Jardim;497 avaliações
Pousada Terra do Mar;R$ 7.100;9,3;Suíte;38 avaliações
SOL;R$ 4.685;8,8;Apartamento Superior;76 avaliações
Hotel Pousada Casacolina;R$ 8.000;8,2;Quarto Triplo Standard;468 avaliações
Hotel Doce Mar;R$ 6.089;9,0;Quarto Duplo;342 avaliações
Pousada Casa da Pedra;R$ 4.382;8,2;Quarto Duplo Standard;125 avaliações
Sabatico Beach House;R$ 7.500;9,1;Quarto Duplo Deluxe;71 avaliações
Villa Santa Fé;R$ 5.664;8,8;Quarto com Varanda.;456 avaliações
Casas do Adriano;R$ 3.848;7,6;Suíte Deluxe;29 avaliações
Bamboo Búzios Hostel;R$ 7.968;9,0;Quarto com 2 Camas de Solteiro e Banheiro;1.552 avaliações
Pousada Blanca Mar;R$ 7.821;8,9;Quarto Duplo Deluxe;576 avaliações
Pousada Marittima;R$ 7.031;8,2;Quarto Triplo Standard;475 avaliações
Pousada Oceano de Búzios;R$ 6.150;8,2;Quarto Duplo Standard;330 avaliações
Pousada Aguas Claras;R$ 8.012;9,4;Quarto Duplo Clássico;781 avaliações
Búzios Flats & Suítes da MARI;R$ 3.200;8,6;Quarto com Cama King-size;51 avaliações
Barracuda Eco Resort Búzios;R$ 7.550;7,6;Suíte Standard com Vista do Mar;250 avaliações
