Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Buzios Arambaré Hotel;R$ 6.049;8,4;Quarto Duplo Standard;89 avaliações
Tortuguita Ossos - Suítes;R$ 2.750;9,0;Suíte;130 avaliações
Costa do Sol Boutique Hotel;R$ 11.772;8,3;Suíte Standard com Vista do Jardim;417 avaliações
HTL PERSONALIZADA BUZIOS;R$ 3.200;8,3;Quarto Duplo;222 avaliações
Bardot Apartamentos;R$ 5.400;8,2;Quarto Duplo;269 avaliações
Pousada dos Reis;R$ 6.351;8,5;Quarto Deluxe;365 avaliações
La Pedrera Small Hotel & Spa;R$ 10.331;9,1;Quarto Standard;746 avaliações
Hotel Miratlantico Búzios;R$ 6.669;8,5;Suíte com Vista do Jardim;1.856 avaliações
Rio Búzios Beach Hotel;R$ 7.283;9,0;Quarto Duplo Standard com Varanda e Vista do Jardim;497 avaliações
Riviera Búzios Hotel;R$ 9.176;8,9;Suíte Superior;1.035 avaliações
Hotel Pousada Casacolina;R$ 8.000;8,2;Quarto Triplo Standard;468 avaliações
Pousada Casa da Pedra;R$ 4.382;8,2;Quarto Duplo Standard;127 avaliações
Bamboo Búzios Hostel;R$ 7.968;9,0;Quarto com 2 Camas de Solteiro e Banheiro;1.552 avaliações
Camping & Hostel Bandeiras;R$ 650;8,5;Tenda;44 avaliações
Pousada Marittima;R$ 6.599;8,2;Quarto Triplo Standard;475 avaliações
POUSADA ELOHIM DE BUZIOS;R$ 4.025;10;Quarto Duplo Standard;1 avaliação
Pousada Blanca Mar;R$ 7.821;8,9;Quarto Duplo Deluxe;574 avaliações
Sabatico Beach House;R$ 7.500;9,1;Quarto Duplo Deluxe;72 avaliações
Pousada Aguas Claras;R$ 7.775;9,4;Quarto Duplo Clássico;772 avaliações
Búzios Flats & Suítes da MARI;R$ 3.200;8,6;Quarto com Cama King-size;51 avaliações
Hotel Pousada Brava Club;R$ 12.764;8,2;Suíte Standard com Vista do Jardim;390 avaliações
Top de Buzios Boutique Hotel & Spa;R$ 9.975;9,4;Quarto Duplo Deluxe com Vista do Mar;238 avaliações
Hotel Doce Mar;R$ 6.089;9,0;Quarto Duplo;340 avaliações
Pousada Mar de Geribá;R$ 6.870;8,8;Suíte Standard;41 avaliações
Colonna Galapagos Boutique Hotel;R$ 10.150;8,4;Suíte Master com Banheira de Hidromassagem e Vista do Mar (2 Adultos);944 avaliações
