Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Buzios Mar Hotel;R$ 10.076;8,7;Quarto Duplo Deluxe com Vista do Mar;1.565 avaliações
Casa em Búzios no Parque Costa do Sol.;R$ 5.000;8,3;Casa de Temporada;421 avaliações
Costa do Sol Boutique Hotel;R$ 11.772;9,0;Suíte Standard com Vista do Jardim;871 avaliações
Suites;R$ 4.608;8,5;Quarto Triplo;364 avaliações
Pousada Dos Búzios;R$ 6.980;9,1;Quarto Standard;747 avaliações
Pousada dos Reis;R$ 6.351;8,2;Quarto Deluxe;464 avaliações
CadaPorto Guest House;R$ 5.120;9,1;Suíte Standard;272 avaliações
La Pedrera Small Hotel & Spa;R$ 10.331;8,5;Quarto Standard;1.865 avaliações
Hotel Pousada Casacolina;R$ 7.000;9,0;Quarto Duplo;464 avaliações
Pousada Flats Paguru;R$ 4.040;9,0;Estúdio (3 Adultos);1.552 avaliações
Hotel Miratlantico Búzios;R$ 6.669;9,0;Suíte com Vista do Jardim;503 avaliações
Pousada Vila do Mar;R$ 7.620;9,3;Suíte com Vista do Jardim;37 avaliações
Bamboo Búzios Hostel;R$ 7.968;8,7;Quarto com 2 Camas de Solteiro e Banheiro;39 avaliações
Rio Búzios Beach Hotel;R$ 7.137;8,2;Quarto Duplo Standard com Varanda e Vista do Jardim;120 avaliações
Pousada Terra do Mar;R$ 7.000;8,8;Suíte;460 avaliações
Pousada Mar de Geribá;R$ 5.362;9,5;Suíte Standard;331 avaliações
Pousada Casa da Pedra;R$ 4.382;10;Quarto Duplo Standard;1 avaliação
Villa Santa Fé;R$ 5.428;9,1;Quarto Duplo com Vista do Jardim;71 avaliações
Pousada do Frei;R$ 7.749;9,4;Suíte Júnior;786 avaliações
POUSADA ELOHIM DE BUZIOS;R$ 4.025;8,5;Quarto Duplo Standard;84 avaliações
Sabatico Beach House;R$ 7.500;8,2;Quarto Duplo Deluxe;328 avaliações
Pousada Aguas Claras;R$ 7.955;8,2;Quarto Duplo Clássico;474 avaliações
