Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
La Boheme Hotel e Apart Hotel;R$ 7.900;9,0;Quarto Duplo Standard;502 avaliações
La Pedrera Small Hotel & Spa;R$ 10.331;9,1;Quarto Standard;745 avaliações
Pousada Vila do Mar;R$ 7.620;9,0;Suíte com Vista do Jardim;464 avaliações
Pousada Casa da Pedra;R$ 4.382;8,2;Quarto Duplo Standard;120 avaliações
Pousada Terra do Mar;R$ 7.000;9,3;Suíte;37 avaliações
Bamboo Búzios Hostel;R$ 7.968;9,0;Quarto com 2 Camas de Solteiro e Banheiro;1.551 avaliações
Villa Santa Fé;R$ 5.428;8,8;Quarto Duplo com Vista do Jardim;459 avaliações
Pousada Mar de Geribá;R$ 5.362;8,7;Suíte Standard;39 avaliações
Rio Búzios Beach Hotel;R$ 7.137;9,0;Quarto Duplo Standard com Varanda e Vista do Jardim;503 avaliações
Pousada do Frei;R$ 7.749;9,5;Suíte Júnior;332 avaliações
SOL;R$ 4.903;8,7;Apartamento Superior;70 avaliações
POUSADA ELOHIM DE BUZIOS;R$ 4.025;10;Quarto Duplo Standard;1 avaliação
Sabatico Beach House;R$ 7.500;9,1;Quarto Duplo Deluxe;71 avaliações
Pousada Marittima;R$ 7.031;8,2;Quarto Triplo Standard;476 avaliações
Camping & Hostel Bandeiras;R$ 650;8,5;Tenda;44 avaliações
Pousada Oceano de Búzios;R$ 6.150;8,2;Quarto Duplo Standard;328 avaliações
Barracuda Eco Resort Búzios;R$ 7.550;7,6;Suíte Standard com Vista do Mar;250 avaliações
Rio Búzios Boutique Hotel;R$ 10.709;9,0;Quarto Duplo Standard;353 avaliações
Búzios Flats & Suítes da MARI;R$ 3.200;8,6;Quarto Superior com Cama King-size;51 avaliações
CadaPorto Guest House;R$ 5.544;8,8;Quarto Queen com Vista para o Jardim;157 avaliações
Pousada Arpoador de Búzios;R$ 4.050;6,0;Quarto Duplo Econômico;8 avaliações
Grupo Divino pousada e hostel;R$ 2.250;8,7;Quarto Duplo com Banheiro Privativo;312 avaliações
Pousada Marbella;R$ 8.487;8,2;Suíte com Varanda;259 avaliações
Pousada Da Ferradura;R$ 5.920;9,5;Quarto Duplo Standard;25 avaliações
