Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Jubarte Hotel by Insólito;R$ 14.256;9,5;Apartamento Superior;636 avaliações
Costa do Sol Boutique Hotel;R$ 11.772;8,3;Suíte Standard com Vista do Jardim;425 avaliações
Pousada Dos Búzios;R$ 6.980;9,0;Quarto Standard;872 avaliações
Pousada dos Reis;R$ 6.351;8,5;Quarto Deluxe;365 avaliações
La Boheme Hotel e Apart Hotel;R$ 8.760;9,0;Quarto Duplo Standard;504 avaliações
POUSADA ELOHIM DE BUZIOS;R$ 4.025;10;Quarto Duplo Standard;1 avaliação
Pousada Vila do Mar;R$ 7.620;9,0;Suíte com Vista do Jardim;465 avaliações
Pousada Mar de Geribá;R$ 5.362;8,7;Suíte Standard;39 avaliações
La Pedrera Small Hotel & Spa;R$ 10.331;9,1;Quarto Standard;748 avaliações
Bamboo Búzios Hostel;R$ 7.968;9,0;Quarto com 2 Camas de Solteiro e Banheiro;1.554 avaliações
Villa Santa Fé;R$ 5.428;8,8;Quarto Duplo com Vista do Jardim;462 avaliações
Hotel Pousada Casacolina;R$ 7.000;8,2;Quarto Duplo;464 avaliações
Rio Búzios Beach Hotel;R$ 7.865;9,0;Quarto Duplo Standard com Varanda e Vista do Jardim;504 avaliações
Pousada Casa da Pedra;R$ 4.382;8,2;Quarto Duplo Standard;117 avaliações
Hotel Miratlantico Búzios;R$ 6.672;8,5;Suíte com Vista do Jardim;1.873 avaliações
Pousada Marittima;R$ 7.031;8,2;Quarto Triplo Standard;474 avaliações
Pousada Marbella;R$ 6.689;8,7;Suíte Standard;311 avaliações
Sabatico Beach House;R$ 7.500;9,0;Quarto Duplo Deluxe;70 avaliações
Pousada da Cyssa;R$ 9.574;9,3;Quarto Duplo com Varanda;151 avaliações
Pousada Terra do Mar;R$ 7.000;9,3;Suíte;37 avaliações
Locação de Casa em Búzios no Arpoador da raça;R$ 270;9,4;Casa de 4 Quartos;237 avaliações
Top de Buzios Boutique Hotel & Spa;R$ 9.975;8,5;Quarto Duplo Deluxe com Vista do Mar;81 avaliações
Buzios Arambaré Hotel;R$ 5.898;8,7;Quarto Duplo Standard;1.561 avaliações
