Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Pousada Maresias de Geribá;R$ 5.950;8,4;Suíte;87 avaliações
Costa do Sol Boutique Hotel;R$ 10.370;8,3;Suíte Standard com Vista do Jardim;416 avaliações
Barracuda Eco Resort Búzios;R$ 3.382;7,6;Suíte Standard com Vista do Mar;250 avaliações
Barlavento Suites;R$ 4.725;7,6;Suíte com Vista do Jardim;1.625 avaliações
HTL PERSONALIZADA BUZIOS;R$ 3.200;8,3;Quarto Duplo;223 avaliações
Bardot Apartamentos;R$ 5.400;8,2;Quarto Duplo;271 avaliações
La Boheme Hotel e Apart Hotel;R$ 7.900;9,0;Quarto Duplo Standard;497 avaliações
Pousada dos Reis;R$ 6.351;8,5;Quarto Deluxe;365 avaliações
La Pedrera Small Hotel & Spa;R$ 10.331;9,1;Quarto Standard;745 avaliações
Hotel Miratlantico Búzios;R$ 6.669;8,5;Suíte com Vista do Jardim;1.864 avaliações
Villa Santa Fé;R$ 5.664;8,8;Quarto com Varanda.;453 avaliações
Riviera Búzios Hotel;R$ 9.139;8,9;Suíte Superior;1.032 avaliações
Rio Búzios Beach Hotel;R$ 7.283;9,0;Quarto Duplo Standard com Varanda e Vista do Jardim;496 avaliações
Casas do Adriano;R$ 4.275;7,6;Suíte Deluxe;29 avaliações
Pousada Dos Búzios;R$ 8.722;9,0;Quarto Deluxe;872 avaliações
Pousada Terra do Mar;R$ 7.100;9,3;Suíte;38 avaliações
SOL;R$ 4.685;8,8;Apartamento Superior;76 avaliações
Hotel Pousada Casacolina;R$ 8.000;8,2;Quarto Triplo Standard;468 avaliações
Pousada Casa da Pedra;R$ 4.382;8,2;Quarto Duplo Standard;126 avaliações
Bamboo Búzios Hostel;R$ 7.968;9,0;Quarto com 2 Camas de Solteiro e Banheiro;1.552 avaliações
Camping & Hostel Bandeiras;R$ 650;8,5;Tenda;44 avaliações
Pousada Blanca Mar;R$ 7.821;8,9;Quarto Duplo Deluxe;574 avaliações
Sabatico Beach House;R$ 7.500;9,1;Quarto Duplo Deluxe;71 avaliações
Hotel Doce Mar;R$ 6.089;9,0;Quarto Duplo;342 avaliações
Pousada Marittima;R$ 7.031;8,2;Quarto Triplo Standard;475 avaliações
