Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
EstrelaMar Ferradura Pousada Restaurante & Spa;R$ 4.768;8,0;Quarto Duplo com Varanda;926 avaliações
Casa Praiana;R$ 765;8,3;Casa de 2 Quartos;224 avaliações
HTL PERSONALIZADA BUZIOS;R$ 2.560;8,3;Quarto Triplo Standard;417 avaliações
Costa do Sol Boutique Hotel;R$ 11.772;7,5;Suíte Standard com Vista do Jardim;719 avaliações
Búzios Internacional Apart Hotel;R$ 4.914;8,2;Apartamento Standard;272 avaliações
Bardot Apartamentos;R$ 5.400;9,0;Quarto Duplo;872 avaliações
Pousada Dos Búzios;R$ 6.980;7,5;Quarto Standard;89 avaliações
BemTeVi Em Búzios;R$ 2.906;8,5;Quarto Standard;364 avaliações
Pousada dos Reis;R$ 6.351;9,0;Quarto Deluxe;501 avaliações
La Boheme Hotel e Apart Hotel;R$ 8.361;9,1;Quarto Duplo Standard;745 avaliações
La Pedrera Small Hotel & Spa;R$ 10.331;8,5;Quarto Standard;1.868 avaliações
Hotel Miratlantico Búzios;R$ 6.669;8,8;Suíte com Vista do Jardim;456 avaliações
Villa Santa Fé;R$ 5.428;9,0;Quarto Duplo com Vista do Jardim;1.550 avaliações
Bamboo Búzios Hostel;R$ 7.968;8,8;Quarto com 2 Camas de Solteiro e Banheiro;74 avaliações
SOL;R$ 4.685;9,0;Apartamento Superior;503 avaliações
Rio Búzios Beach Hotel;R$ 7.137;8,2;Quarto Duplo Standard com Varanda e Vista do Jardim;466 avaliações
Hotel Pousada Casacolina;R$ 8.000;8,2;Quarto Triplo Standard;122 avaliações
Pousada Casa da Pedra;R$ 4.382;9,3;Quarto Duplo Standard;38 avaliações
Pousada Terra do Mar;R$ 7.100;9,1;Suíte;71 avaliações
Sabatico Beach House;R$ 7.500;8,9;Quarto Duplo Deluxe;576 avaliações
Pousada Blanca Mar;R$ 7.821;7,4;Quarto Duplo Deluxe;1.792 avaliações
Bliss Hotéis Bella Vista;R$ 4.396;9,4;Quarto Duplo Econômico;781 avaliações
Pousada Aguas Claras;R$ 8.012;8,2;Quarto Duplo Clássico;477 avaliações
Pousada Marittima;R$ 7.031;9,0;Quarto Triplo Standard;342 avaliações
