Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Greco Hotel;R$ 8.382;8,9;Quarto Duplo Standard;1.737 avaliações
Costa do Sol Boutique Hotel;R$ 11.772;8,3;Suíte Standard com Vista do Jardim;417 avaliações
HTL PERSONALIZADA BUZIOS;R$ 2.400;8,3;Quarto Duplo;224 avaliações
Pousada dos Reis;R$ 6.351;8,5;Quarto Deluxe;364 avaliações
La Boheme Hotel e Apart Hotel;R$ 7.900;9,0;Quarto Duplo Standard;501 avaliações
Uni Boutique Hotel & Spa;R$ 7.527;9,0;Suíte Deluxe com Vista do Mar;6 avaliações
Hotel Miratlantico Búzios;R$ 6.669;8,5;Suíte com Vista do Jardim;1.869 avaliações
Hotel Pousada Casacolina;R$ 7.000;8,2;Quarto Duplo;466 avaliações
La Pedrera Small Hotel & Spa;R$ 10.331;9,1;Quarto Standard;745 avaliações
Rio Búzios Beach Hotel;R$ 7.137;9,0;Quarto Duplo Standard com Varanda e Vista do Jardim;503 avaliações
Pousada Mar de Geribá;R$ 5.362;8,7;Suíte Standard;39 avaliações
Bamboo Búzios Hostel;R$ 7.968;9,0;Quarto com 2 Camas de Solteiro e Banheiro;1.551 avaliações
Pousada do Frei;R$ 7.749;9,5;Suíte Júnior;332 avaliações
Villa Santa Fé;R$ 5.428;8,8;Quarto Duplo com Vista do Jardim;459 avaliações
Sabatico Beach House;R$ 7.500;9,1;Quarto Duplo Deluxe;71 avaliações
Pousada Blanca Mar;R$ 7.821;8,9;Quarto Duplo Deluxe;576 avaliações
Pousada Casa da Pedra;R$ 4.382;8,2;Quarto Duplo Standard;120 avaliações
Pousada Marittima;R$ 7.031;8,2;Quarto Triplo Standard;476 avaliações
Pousada Oceano de Búzios;R$ 6.150;8,2;Quarto Duplo Standard;329 avaliações
Top de Buzios Boutique Hotel & Spa;R$ 9.975;9,4;Quarto Duplo Deluxe com Vista do Mar;239 avaliações
POUSADA ELOHIM DE BUZIOS;R$ 4.025;10;Quarto Duplo Standard;1 avaliação
Buzios Arambaré Hotel;R$ 5.898;8,5;Quarto Duplo Standard;87 avaliações
Rio Búzios Boutique Hotel;R$ 10.709;9,0;Quarto Duplo Standard;353 avaliações
Barracuda Eco Resort Búzios;R$ 7.550;7,6;Suíte Standard com Vista do Mar;250 avaliações
Hotel Doce Mar;R$ 6.089;9,0;Quarto Duplo;342 avaliações
