Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Hotel Alpen Hof;R$ 2.509;8,2;Quarto Duplo Econômico;754 avaliações
Hotel Due Nobili;R$ 4.399;9,4;Quarto Deluxe;880 avaliações
Pousada Boschetti;R$ 2.339;8,8;Quarto Duplo;146 avaliações
Hotel Recanto da Serra;R$ 6.575;9,4;Quarto Standard com Cama de Casal ou 2 de Solteiro;2.276 avaliações
Vila dos Ventos;R$ 1.360;8,4;Apartamento;14 avaliações
Hotel Galo Vermelho;R$ 3.590;8,5;Quarto Duplo Deluxe;908 avaliações
Pousada Essência Serrana Gramado;R$ 2.583;8,4;Quarto Triplo Comfort;40 avaliações
Hotel das Hortênsias;R$ 5.400;9,4;Apartamento com Varanda;807 avaliações
Zermatt Hotel;R$ 2.702;8,8;Quarto Deluxe com Cama de Casal ou 2 de Solteiro;1.219 avaliações
Alameda Paradiso Hotel;R$ 4.016;8,0;Quarto Standard com Cama de Casal ou 2 de Solteiro;804 avaliações
Apartamentos Sulla Collina Centro de Gramado localizado próximo da rua Coberta;R$ 3.495;8,4;Suíte (4 Adultos);735 avaliações
Pousada Águia Branca;R$ 4.300;9,2;Suíte Deluxe;1.084 avaliações
Pousada Natal Encantado;R$ 2.910;9,0;Apartamento - Térreo;755 avaliações
Hotel Gramado Palace;R$ 3.870;8,9;Quarto Duplo Standard;2.054 avaliações
Pousada da Mari;R$ 1.220;8,8;Apartamento;348 avaliações
Wyndham Gramado Termas Resort & Spa;R$ 6.785;8,2;Quarto Queen Superior - para Não-Fumantes;3.532 avaliações
Locanda Casa D'Oro - Hotel Boutique;R$ 5.127;9,5;Suíte King Deluxe;886 avaliações
Buona Vitta Gramado Resort & Spa by Gramado Parks;R$ 8.603;9,1;Suíte Queen com Banheira de Hidromassagem;5.114 avaliações
Sky Premium Hotel Gramado - Ótima Localização;R$ 5.937;8,5;Quarto Triplo Deluxe;7.188 avaliações
Wish Serrano;R$ 8.434;8,6;Quarto Duplo Standard Anexo;1.897 avaliações
Prodigy Gramado;R$ 8.503;9,1;Quarto Superior com 1 Cama Queen-size;2.258 avaliações
Tri Hotel Le Chateau;R$ 6.455;8,8;Quarto Duplo Deluxe;1.837 avaliações
Eleganz Hostel & Suítes;R$ 6.318;8,9;Suíte Deluxe;2.469 avaliações
Le Boutique Hotel Gramado;R$ 9.391;9,5;Suíte com Cama Queen-size;603 avaliações
Hotel Renascença;R$ 3.700;8,6;Quarto de Luxo no Térreo;2.386 avaliações
