Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Nova Pousada Golfinho;R$ 5.000;8,5;Quarto Duplo;267 avaliações
Casa de Mirtes;R$ 5.500;9,7;Quarto Duplo;158 avaliações
Noronha 350;R$ 9.299;8,4;Quarto Triplo Standard;275 avaliações
Pousada Verdes Mares;R$ 10.925;9,2;Quarto Deluxe;191 avaliações
Corrente Marítima Pousada;R$ 8.689;9,4;Quarto Quádruplo;205 avaliações
Paraíso do Boldró Flat;R$ 6.000;9,9;Quarto Família;64 avaliações
Pousada Gaucha;R$ 11.400;8,7;Bangalô Deluxe;57 avaliações
Pousada Simpatia da Ilha;R$ 10.800;8,1;Quarto Duplo Standard;176 avaliações
Pousada Luar da Ilha;R$ 11.732;9,6;Suíte Deluxe;302 avaliações
Oby Noronha;R$ 6.320;9,4;Quarto com Cama Queen-size;110 avaliações
Palhoça da Colina;R$ 5.000;9,3;Quarto com Cama de Casal ou 2 de Solteiro e Banheiro Privativo;204 avaliações
Flats Baia dos Porcos;R$ 10.000;9,4;Apartamento com Vista das Montanhas;267 avaliações
Pousada Aconchego Noronha;R$ 7.650;9,1;Quarto Duplo;376 avaliações
Maré suites;R$ 7.250;9,0;Quarto Triplo;313 avaliações
Pousada da Mana;R$ 10.925;9,6;Suíte Standard;84 avaliações
Pousada Sette Mares;R$ 13.876;7,9;Suíte Família;30 avaliações
Pousada Brisa Mar;R$ 6.000;9,1;Quarto Duplo;96 avaliações
Ecocharme Pousada do Marcilio;R$ 16.314;8,2;Bangalô Família;87 avaliações
Pousada Tartarugas Marinhas;R$ 9.120;9,7;Quarto Duplo;106 avaliações
Pousada Sueste;R$ 8.250;8,7;Quarto Triplo;185 avaliações
Pousada Naiepe;R$ 14.000;9,7;Quarto Triplo;144 avaliações
Pousada Marlin Azul;R$ 9.000;9,8;Quarto Duplo Deluxe com Varanda;220 avaliações
Casa Villa Noronha Suites;R$ 5.530;7,8;Suíte Deluxe;273 avaliações
Pousada Morro do Farol;R$ 12.235;9,3;Quarto Duplo;46 avaliações
Pousada Algas Marinhas;R$ 7.040;9,0;Quarto Triplo Standard;34 avaliações
