Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Pousada Malibu;R$ 12.690;9,0;Quarto Quádruplo;159 avaliações
Pousada Lua Bela;R$ 26.390;9,1;Bangalô Deluxe;499 avaliações
Corrente Marítima Pousada;R$ 8.689;9,4;Quarto Quádruplo;205 avaliações
Pousada Luar da Ilha;R$ 11.732;9,6;Suíte Deluxe;303 avaliações
Casa Villa Noronha Suites;R$ 5.530;7,8;Suíte Deluxe;273 avaliações
Maré suites;R$ 7.250;9,0;Quarto Triplo;315 avaliações
Flats Baia dos Porcos;R$ 10.000;9,4;Apartamento com Vista das Montanhas;267 avaliações
Nova Pousada Golfinho;R$ 5.000;8,5;Quarto Duplo;268 avaliações
Casa de Mirtes;R$ 5.500;9,7;Quarto Duplo;158 avaliações
Pousada Simpatia da Ilha;R$ 10.800;8,1;Bangalô com Vista para o Jardim;176 avaliações
POUSADA DO MIRANTE;R$ 24.750;9,3;Quarto Triplo Standard;71 avaliações
Pousada Verdes Mares;R$ 10.925;9,2;Quarto Deluxe;191 avaliações
Pousada da Germana;R$ 14.440;9,2;Quarto Duplo com Varanda;359 avaliações
Pousada Marlin Azul;R$ 9.000;9,8;Quarto Duplo Deluxe com Varanda;220 avaliações
Pousada Triboju;R$ 33.930;8,4;Suíte King Deluxe;109 avaliações
Pousada da Mana;R$ 10.925;9,6;Quarto com Cama de Casal ou 2 de Solteiro;86 avaliações
Pousada Sueste;R$ 8.250;8,7;Quarto Triplo;185 avaliações
Pousada Naiepe;R$ 14.000;9,7;Quarto Triplo;144 avaliações
Pousada Gaucha;R$ 11.400;8,7;Bangalô Deluxe;57 avaliações
Oby Noronha;R$ 6.320;9,4;Quarto com Cama Queen-size;110 avaliações
Pousada Brisa Mar;R$ 6.000;9,1;Quarto Duplo;96 avaliações
Pousada Estrela Cordel;R$ 7.600;8,8;Suíte Standard;78 avaliações
Ecocharme Pousada do Marcilio;R$ 16.314;8,2;Bangalô Família;87 avaliações
Casa da Laninha;R$ 6.900;8,7;Quarto Triplo Standard;107 avaliações
Pousada Tartarugas Marinhas;R$ 8.208;9,7;Quarto Duplo;107 avaliações
