Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Hotel Melo;R$ 6.080;9,0;Quarto Duplo;1.559 avaliações
Tri Hotel Balneario Camboriu;R$ 6.995;7,9;Quarto com 2 Camas de Solteiro (Beliche);3.889 avaliações
Hotel dos Açores;R$ 6.645;7,5;Quarto Quádruplo Standard;3.373 avaliações
Hotel Ilha da Madeira;R$ 6.645;7,2;Quarto Standard;2.359 avaliações
Hotel Bhally;R$ 9.882;8,2;Quarto Duplo Standard;418 avaliações
Ibis Styles Balneário Camboriú - 1 Quadra do Mar;R$ 7.250;8,6;Apartamento Standard com 2 Camas de Solteiro;1.834 avaliações
Sagres Praia Hotel;R$ 6.595;7,8;Quarto Triplo Standard;1.449 avaliações
Hotel Gumz;R$ 6.665;8,4;Quarto Triplo Superior;990 avaliações
Mercure Camboriu;R$ 10.455;8,2;Quarto Standard com 2 Camas de Solteiro;1.089 avaliações
Hotel Praiamar;R$ 6.000;8,2;Quarto Duplo Standard;825 avaliações
Apartamento dos Sonhos - Studio em Prédio a Beira Mar;R$ 5.645;8,0;Apartamento Estúdio;3 avaliações externas
H Hotel;R$ 5.536;8,1;Quarto Triplo;665 avaliações
Tropikalya Prime Hotel;R$ 5.938;10;Quarto Standard com Cama de Casal ou 2 de Solteiro;526 avaliações
Estudio em frente ao Shopping e Rodoviaria em Balneario Camboriu P891;R$ 4.061;8,2;Apartamento Estúdio;5 avaliações
Master Hotel;R$ 4.598;8,4;Quarto com Cama de Casal ou 2 de Solteiro;377 avaliações
Hotel Geranium;R$ 5.250;8,5;Quarto Duplo Standard;679 avaliações
Hotel Pitol;R$ 6.485;8,0;Quarto Standard com Cama de Casal ou 2 de Solteiro;936 avaliações
Atobá Praia Hotel;R$ 7.128;8,4;Quarto Duplo Deluxe;1.949 avaliações
San Marino Cassino Hotel;R$ 6.300;8,6;Apartamento;2.990 avaliações
Kitnet 904;R$ 1.700;8,7;Apartamento de 1 Quarto;990 avaliações
Hotel D'sintra;R$ 9.585;8,1;Quarto Deluxe;1.107 avaliações
Hotel Blumenau - Balneário Camboriú;R$ 6.460;8,4;Quarto Duplo Deluxe;5.240 avaliações
Hotel Rieger;R$ 7.944;7,9;Quarto Duplo Premium;3.573 avaliações
