Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Hotel dos Açores;R$ 6.645;7,5;Quarto Quádruplo Standard;3.369 avaliações
Hotel Melo;R$ 6.080;9,0;Quarto Duplo;1.560 avaliações
Hotel Bhally;R$ 9.882;8,2;Quarto Duplo Standard;416 avaliações
Hotel Ilha da Madeira;R$ 6.645;7,2;Quarto Standard;2.356 avaliações
Ibis Styles Balneário Camboriú - 1 Quadra do Mar;R$ 7.250;8,6;Apartamento Standard com 2 Camas de Solteiro;1.841 avaliações
Tri Hotel Balneario Camboriu;R$ 8.595;7,9;Quarto de Casal Standard;3.893 avaliações
Hotel Gumz;R$ 6.665;8,4;Quarto Triplo Superior;990 avaliações
Apartamento dos Sonhos - Studio em Prédio a Beira Mar;R$ 5.495;8,2;Apartamento Estúdio;3 avaliações externas
Hotel Praiamar;R$ 6.000;7,9;Quarto Duplo Standard;823 avaliações
HM Hotel;R$ 6.755;8,0;Suíte Superior;2.004 avaliações
H Hotel;R$ 5.536;8,6;Quarto Triplo;664 avaliações
Aconchegante - 1 Quadra da Praia;R$ 542;8,2;Apartamento de 1 Quarto;589 avaliações
Pousada Balneário Camboriú;R$ 4.700;8,5;Quarto Triplo com Banheiro Privativo;376 avaliações
Master Hotel;R$ 4.598;8,4;Quarto com Cama de Casal ou 2 de Solteiro;934 avaliações
Hotel Pitol;R$ 6.485;8,4;Quarto Standard com Cama de Casal ou 2 de Solteiro;679 avaliações
Hotel Geranium;R$ 5.250;8,7;Quarto Duplo Standard;2.988 avaliações
San Marino Cassino Hotel;R$ 6.300;8,6;Apartamento;1.107 avaliações
Hotel Blumenau - Balneário Camboriú;R$ 6.460;8,2;Quarto Duplo Deluxe;989 avaliações
Hotel D'sintra;R$ 9.585;8,1;Quarto Deluxe;524 avaliações
Tropikalya Prime Hotel;R$ 7.812;8,4;Quarto Triplo Standard;5.242 avaliações
Hotel Rieger;R$ 7.944;9,6;Quarto Duplo Premium;3.568 avaliações
Hotel das Américas;R$ 6.603;7,2;Quarto Duplo Luxo;121 avaliações
Suítes Balneário Camboriú;R$ 5.000;8,0;Suíte;137 avaliações
