Nome do Hotel;Preço;Nota
EcoCharme Pousada Pedra do Mar;R$ 1572;Hotel 3 estrelas
EcoCharme Pousada do Marcílio;R$ 2219;Hotel 3 estrelas
Pousada Triboju;R$ 4758;Hotel 4 estrelas
Pousada Sueste;R$ 1157;Hotel 3 estrelas
Pousada Vitoria;R$ 981;Hotel 3 estrelas
Dolphin Hotel;R$ 4920;Hotel 5 estrelas
Pousada Sol e Mar - Noronha;R$ 1246;Hotel 3 estrelas
Pousada Alquimista ;R$ 1575;Hotel 4 estrelas
Pousada Algas Marinhas - Fernando de Noronha;R$ 1153;Hotel 4 estrelas
Pousada Fortaleza;R$ 1688;Hotel 3 estrelas
