Nome do Hotel;Preço;Nota;Número de avaliações
Quarto em Centro;R$2.796;5,0;11
Condomínio em Centro;R$3.476;5,0;21
Apartamento em Balneário Camboriú;R$5.877;Novo;0
Quarto em Balneário Camboriú;R$2.317;4,93;30
Quarto em Centro;R$2.853;Novo;0
Hotel em Balneário Camboriú;R$2.876;Novo;0
Lugar para ficar em Balneário Camboriú;R$4.679;Novo;0
Apartamento em Balneário Camboriú;R$3.304;4,89;36
Apartamento em Balneário Camboriú;R$5.620;Novo;0
Loft em Balneário Camboriú;R$6.128;5,0;3
Apartamento em Balneário Camboriú;R$3.572;5,0;3
Lugar para ficar em Balneário Camboriú;R$2.379;4,5;240
Condomínio em Centro;R$3.994;4,98;53
Apartamento em Balneário Camboriú;R$5.928;4,98;84
Apartamento em Balneário Camboriú;R$5.260;Novo;0
Quarto em Centro;R$3.555;4,64;42
Loft em Centro;R$5.181;5,0;165
Apartamento em Balneário Camboriú;R$6.997;4,95;203
Apartamento em Balneário Camboriú;R$5.186;5,0;112
Quarto em Balneário Camboriú, Praia do Estaleiro;R$5.592;4,82;177
Apartamento em Pioneiros;R$7.600;5,0;33
