Nome do Hotel;Preço;Nota;Número de avaliações
Condomínio em Centro;R$3.476;5,0;21
Apartamento em Balneário Camboriú;R$7.202;Novo;0
Loft em Balneário Camboriú;R$6.052;4,89;36
Quarto em Centro;R$2.796;5,0;11
Apartamento em Balneário Camboriú;R$6.271;4,86;7
Loft em Centro;R$5.010;4,98;84
Apartamento em Balneário Camboriú;R$3.207;4,63;27
Pousada em Itajaí;R$1.617;Novo;0
Apartamento em Balneário Camboriú;R$3.846;4,91;179
Apartamento em Praia Brava;R$7.589;Novo;0
Hotel em Balneário Camboriú;R$2.876;Novo;0
Apartamento em Balneário Camboriú;R$8.113;Novo;0
Quarto em Balneário Camboriú;R$4.679;4,98;53
Quarto em Centro;R$3.555;5,0;3
Apartamento em Balneário Camboriú;R$5.928;4,88;16
Apartamento em Balneário Camboriú;R$5.877;4,95;19
Apartamento em Balneário Camboriú;R$5.341;5,0;3
Condomínio em Centro;R$3.994;4,86;271
Loft em Balneário Camboriú;R$7.024;4,82;177
Apartamento em Pioneiros;R$7.604;4,64;42
Apartamento em Balneário Camboriú;R$5.186;5,0;165
Quarto em Balneário Camboriú, Praia do Estaleiro;R$5.592;5,0;112
Quarto em Balneário Camboriú;R$4.793;4,95;203
