Nome do Hotel;Preço;Nota;Número de avaliações
Quarto em Centro;R$2.682;5,0;9
Loft em Balneário Camboriú;R$5.813;4,89;36
Quarto em Centro;R$2.796;5,0;11
Quarto em Balneário Camboriú;R$3.538;5,0;6
Hotel em Balneário Camboriú;R$2.876;Novo;0
Apartamento em Praia Brava;R$7.589;4,91;178
Loft em Centro;R$5.181;4,98;84
Apartamento em Balneário Camboriú;R$6.219;Novo;0
Apartamento em Bálneario Camboriú;R$8.954;4,93;14
Apartamento em Balneário Camboriú;R$3.669;4,95;19
Apartamento em Balneário Camboriú;R$5.341;4,5;240
Apartamento em Balneário Camboriú;R$5.203;4,96;24
Apartamento em Balneário Camboriú;R$5.843;4,98;52
Quarto em Centro;R$3.555;Novo;0
Apartamento em Balneário Camboriú;R$5.877;Novo;0
Apartamento em Balneário Camboriú;R$5.620;Novo;0
Quarto em Balneário Camboriú;R$4.051;4,4;5
Apartamento em Balneário Camboriú;R$5.034;4,63;41
Apartamento em Balneário Camboriú;R$5.186;4,98;42
Microcasa em Balneário Camboriú;R$6.726;5,0;33
Suíte de hóspedes em Centro;R$4.411;5,0;165
Quarto em Balneário Camboriú, Praia do Estaleiro;R$5.592;5,0;112
Quarto em Balneário Camboriú;R$4.793;4,95;203
