Nome do Hotel;Preço;Nota;Número de avaliações
Apartamento em Pioneiros;R$2.705;4,71;41
Quarto em Balneário Camboriú;R$4.279;Novo;0
Loft em Centro;R$5.010;4,98;84
Loft em Balneário Camboriú;R$6.179;4,89;36
Hotel em Balneário Camboriú;R$2.876;Novo;0
Apartamento em Praia Brava;R$7.589;4,91;179
Apartamento em Balneário Camboriú;R$4.322;4,89;9
Quarto em Centro;R$3.555;4,98;53
Apartamento em Balneário Camboriú;R$5.260;4,5;241
Apartamento em Balneário Camboriú;R$5.928;5,0;3
Apartamento em Balneário Camboriú;R$5.341;4,95;19
Apartamento em Itajaí;R$4.222;4,82;11
Apartamento em Balneário Camboriú;R$5.877;4,88;16
Loft em Balneário Camboriú;R$7.932;4,86;271
Apartamento em Balneário Camboriú;R$6.219;Novo;0
Apartamento em Balneário Camboriú;R$5.934;4,96;25
Apartamento em Camboriú;R$4.707;Novo;0
Apartamento em Balneário Camboriú;R$6.124;4,74;144
Apartamento em Balneário Camboriú;R$5.186;4,64;42
Quarto em Balneário Camboriú, Praia do Estaleiro;R$5.592;5,0;166
Apartamento em Pioneiros;R$7.600;4,95;203
Suíte de hóspedes em Centro;R$4.616;5,0;33
Microcasa em Balneário Camboriú;R$7.760;5,0;36
Apartamento em Balneário Camboriú;R$11.554;4,95;76
